code,name,theme
380550,뉴로핏,2025 하반기 신규상장
463020,뉴엔AI,2025 하반기 신규상장
439260,대한조선,2025 하반기 신규상장
403850,더핑크퐁컴퍼니,2025 하반기 신규상장
491000,리브스메드,2025 하반기 신규상장
014950,삼익제약,2025 하반기 신규상장
061090,세나테크놀로지,2025 하반기 신규상장
397810,애드포러스,2025 하반기 신규상장
475230,엔알비,2025 하반기 신규상장
342870,오아,2025 하반기 신규상장
261520,이지스,2025 하반기 신규상장
464490,쿼드메디슨,2025 하반기 신규상장
494120,큐리오시스,2025 하반기 신규상장
466690,키움히어로제1호스팩,2025 하반기 신규상장
468530,프로티나,2025 하반기 신규상장
493280,아이엠바이오로직스,2026 상반기 신규상장
079810,APS이노베이션,2차전지
001530,DI동일,2차전지
078150,HB테크놀러지,2차전지
001390,KG케미칼,2차전지
002710,TCC스틸,2차전지
900070,글로벌에스엠,2차전지
051490,나라엠앤디,2차전지
129920,대성하이텍,2차전지
006650,대한유화,2차전지
393890,더블유씨피,2차전지
075970,동국알앤에스,2차전지
014820,동원시스템즈,2차전지
109740,디에스케이,2차전지
251630,브이원텍,2차전지
419050,삼기에너지솔루션즈,2차전지
006110,삼아알미늄,2차전지
091580,상신이디피,2차전지
042600,새로닉스,2차전지
093920,서원인텍,2차전지
458650,성우,2차전지
015750,성우하이텍,2차전지
396300,세아메카닉스,2차전지
336370,솔루스첨단소재,2차전지
036830,솔브레인홀딩스,2차전지
416180,신성에스티,2차전지
243840,신흥에스이씨,2차전지
222420,쎄노텍,2차전지
480370,씨케이솔루션,2차전지
469750,아이비젼웍스,2차전지
161000,애경케미칼,2차전지
475660,에스켐,2차전지
364950,에이아이코리아,2차전지
312610,에이에프더블류,2차전지
148930,에이치와이티씨,2차전지
262260,에이프로,2차전지
101360,에코앤드림,2차전지
450080,에코프로머티,2차전지
247540,에코프로비엠,2차전지
333620,엔시스,2차전지
265560,영화테크,2차전지
017370,우신시스템,2차전지
076080,웰크론한텍,2차전지
263770,유에스티,2차전지
240600,유진테크놀로지,2차전지
372170,윤성에프앤씨,2차전지
008730,율촌화학,2차전지
302430,이노메트리,2차전지
088390,이녹스,2차전지
452400,이닉스,2차전지
418550,제이오,2차전지
004910,조광페인트,2차전지
018470,조일알미늄,2차전지
382480,지아이텍,2차전지
455180,케이지에이,2차전지
121850,코이즈,2차전지
108230,톱텍,2차전지
452450,피아이이,2차전지
137400,피엔티,2차전지
257370,피엔티엠에스,2차전지
378340,필에너지,2차전지
452190,한빛레이저,2차전지
037370,EG,2차전지(LFP/리튬인산철)
018290,브이티,2차전지(LFP/리튬인산철)
032680,소프트센,2차전지(LFP/리튬인산철)
066970,엘앤에프,2차전지(LFP/리튬인산철)
360070,탑머티리얼,2차전지(LFP/리튬인산철)
054300,팬스타엔터프라이즈,2차전지(LFP/리튬인산철)
373220,LG에너지솔루션,2차전지(전고체)
361610,SK아이이테크놀로지,2차전지(전고체)
096770,SK이노베이션,2차전지(전고체)
267320,나인테크,2차전지(전고체)
317330,덕산테코피아,2차전지(전고체)
025900,동화기업,2차전지(전고체)
294140,레몬,2차전지(전고체)
281740,레이크머티리얼즈,2차전지(전고체)
020150,롯데에너지머티리얼즈,2차전지(전고체)
049950,미래컴퍼니,2차전지(전고체)
059090,미코,2차전지(전고체)
452200,민테크,2차전지(전고체)
357550,석경에이티,2차전지(전고체)
222080,씨아이에스,2차전지(전고체)
083930,아바코,2차전지(전고체)
413390,엠오티,2차전지(전고체)
259630,엠플러스,2차전지(전고체)
131400,이브이첨단소재,2차전지(전고체)
457190,이수스페셜티케미컬,2차전지(전고체)
278280,천보,2차전지(전고체)
282880,코윈테크,2차전지(전고체)
055490,테이팩스,2차전지(전고체)
277880,티에스아이,2차전지(전고체)
299030,하나기술,2차전지(전고체)
011500,한농화성,2차전지(전고체)
376900,로킷헬스케어,3D 프린터
033200,모아텍,3D 프린터
104540,코렌텍,3D 프린터
030200,KT,5G(5세대 이동통신)
032640,LG유플러스,5G(5세대 이동통신)
066570,LG전자,5G(5세대 이동통신)
178920,PI첨단소재,5G(5세대 이동통신)
332570,PS일렉트로닉스,5G(5세대 이동통신)
017670,SK텔레콤,5G(5세대 이동통신)
242040,나무기술,5G(5세대 이동통신)
153460,네이블,5G(5세대 이동통신)
